CRM;FANTASIA;CNPJ;TELEFONE;CIDADE;ENDERECO;BAIRRO;CEP;CODIGO_IBGE;ESTADO;ATIVO;STATUS;DIAS_LIBERADOS;MODULOS
17;Avenida - Associadas - BEEASY;92.085.646/0001-37;5137561271 / 5137561128;Anta Gorda;Rua Dr. Campos, 433;Centro;95980-000;4300703;RS;Sim;CLIENTE;1.0;MERCHFARMA: 3,HOS P344: 3,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 3,HOSTRIBUTARIO: 4,HOS DIGITALIZE: 3
20;Farmacia Ideal - Associadas - BEEASY;89.946.883/0001-30;5137721372 / 51;Arvorezinha;Av. Daltro Filho, 541;Centro;95995-000;4301404;RS;Sim;CLIENTE;30.0;MERCHFARMA: 7,HOS P344: 7,HOS FISCAL: 7,ESTAÇÃO ADICIONAL: 1,HOSTRIBUTARIO: 7,HOSCLOUD BACKUP: 10,HOSDASHBOARD: 7,HOSGESTÃO PLUS: 7
31;Uniao - BEEASY;02.654.124/0001-16;54991612902 / 54;Bento Goncalves;Av. Osvaldo Aranha;Centro;95700-324;4302105;RS;Sim;CLIENTE;10.0;MERCHFARMA: 3,HOS P344: 3,HOS FISCAL: 3
43;Central - Associadas - BEEASY;88.587.290/0001-62;5434611850 / 54;Carlos Barbosa;Rua Elisa Tramontina, 11 Sala 110;Centro;95185-000;4304804;RS;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 1,HOS FISCAL: 5,FARMÁCIA POPULAR: 3,HOSTRIBUTARIO: 2,HOS DIGITALIZE: 5,HOSCLOUD BACKUP: 5
48;Farmavic - PAULO;04.475.170/0001-83;6298627655 / 62;Cidreira;Av. Mostardeiro, 3186 LJ03;Centro;95595-000;4305454;RS;Sim;CLIENTE;30.0;MERCHFARMA: 6,HOS P344: 6
50;Central;93.618.783/0001-52;5434461388 / 54;Cotiporã;Av. Independencia, 478;Centro;95335-000;4305959;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,ESTAÇÃO ADICIONAL: 1,HOSTRIBUTARIO: 3
56;Noeli - BEEASY;93.330.207/0001-05;5432922636 / 5432921178;Flores da Cunha;Av. 25 de Julho, 1447;Centro;95270-000;4308201;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 1
60;Aguiar MTZ - Associadas (SE);09.943.995/0001-07;5134847768 / 5134847788;Gravataí;Av. Jose Loureiro da Silva, 1330;Centro;94010-000;4309209;RS;Sim;CLIENTE;1.0;MERCHFARMA: 42,HOS P344: 41,HOS COMPRAS: 41,HOS FINANÇAS: 43,HOS FISCAL: 2,HOS REPLICADOR: 1,HOS DELIVERY: 60,ESTAÇÃO ADICIONAL: 38,FARMÁCIA POPULAR: 1,HOSTRIBUTARIO: 5,HOS DIGITALIZE: 42,HOSCLOUD BACKUP: 42,APP E-COMMERCE: 2,HOSCHAT: 4,HOSGESTAO: 42,INTEGRAÇÃO MAGGU: 42
67;Neides - Associadas - BEEASY;90.392.259/0001-18;5434431523 / 5434431134;Guaporé;Av. Alberto Pasquali, 755;Centro;99200-000;4309407;RS;Sim;CLIENTE;30.0;MERCHFARMA: 4,HOS P344: 4,HOS FISCAL: 1,FARMÁCIA POPULAR: 4,HOSTRIBUTARIO: 4
77;Aracaense - BEEASY;88.992.078/0001-80;5432751412 / 54;Nova Araçá;Rua Luiz Zuchetti, 472, Sala 01;Centro;95350-000;4312807;RS;Sim;CLIENTE;1.0;MERCHFARMA: 2,HOS P344: 2,FARMÁCIA POPULAR: 1
81;Sao Judas - BEEASY;03.929.784/0001-25;5135931513 / 51996921036;Novo Hamburgo;Rua Joaquim Pedro Soares, 1521;Guarani;93520-600;4313409;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 1,ESTAÇÃO ADICIONAL: 1
101;Reche - Associadas;02.670.665/0001-38;5135901877 / 51;São Leopoldo;Rua Jose Bonifacio, 1050 Sala 05;centro;93010-180;4318705;RS;Sim;CLIENTE;30.0;MERCHFARMA: 1,HOS P344: 1,HOSTRIBUTARIO: 1
102;Farmacia do Hospital - BEEASY;90.397.167/0001-20;5434442010 / 54;Serafina Correa;Rua Mons. J. B. Scalabrini, 260;Centro;99250-000;4320404;RS;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,HOS FISCAL: 5,HOSTRIBUTARIO: 1
111;Bem Ativa Venancio (SE);02.269.569/0001-82;5137411953 / 51998660244;Venâncio Aires;Rua Tiradentes, 710;Centro;95800-000;4322608;RS;Sim;CLIENTE;30.0;MERCHFARMA: 11,HOS P344: 1,HOS FÓRMULA: 11,FARMÁCIA POPULAR: 10,LAYOUT NFS-E: 11
113;Drogaria Veneto - Associadas - BEEASY;93.258.507/0001-20;5434412228 / 54;Veranópolis;Av. Julio de Castilhos, 766;centro;95330-000;4322806;RS;Sim;CLIENTE;30.0;MERCHFARMA: 6,HOS P344: 6,HOS FISCAL: 6,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 6,HOSTRIBUTARIO: 6
114;Bido - BEEASY;94.988.946/0001-51;5433591020 / 54996196460;Vila Maria;Rua Benjamin Constant, 524;Centro;99155-000;4323408;RS;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 2,HOSCLOUD BACKUP: 2
153;Progresso - Rede Vida - BEEASY;87.278.420/0001-12;5136321062 / 5136325680;Montenegro;Rua Ramiro Barcelos, 1850;Centro;92510-270;4312401;RS;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2,HOS FÓRMULA: 2,HOSCLOUD BACKUP: 2
201;Schmitt - Associadas;90.448.689/0001-04;5137181433 / 51;Vera Cruz;Rua Intendente Koelzer, 234;Centro;96880-000;4322707;RS;Sim;CLIENTE;30.0;MERCHFARMA: 7,HOS P344: 7,ESTAÇÃO ADICIONAL: 2,FARMÁCIA POPULAR: 7,HOSTRIBUTARIO: 7,HOS DIGITALIZE: 7,HOSCLOUD BACKUP: 5
327;Gloria Associadas - Manipulacao - BEEASY;87.621.181/0004-02;5433318415 / 5433318323;Carazinho;Av. Patria, 2655;Gloria;99500-000;4304705;RS;Sim;CLIENTE;30.0;MERCHFARMA: 9,HOS P344: 9,HOS FÓRMULA: 9,ESTAÇÃO ADICIONAL: 6,APP E-COMMERCE: 9,INTEGRAÇÃO BLING: 9
